单词原文,是否已经统一,最终翻译,曾用翻译,选择最终翻译的原因和备注,在本书出现次数,是否为专业名词,是否为头脑风暴图或词云专业名词,出现在章节
memory,是,,,,2122,是,,第1章之前、第1章、第2章、第3章、第4章、第5章、第6章、第7章、第8章、第9章、第10章、第11章、第12章、第13章、第14章、第15章
GC,是,GC,,,1898,是,,第1章之前、第1章、第2章、第3章、第4章、第5章、第6章、第7章、第8章、第9章、第10章、第11章、第12章、第13章、第14章、第15章
Object,是,视具体情况翻译成“对象”或保留原文不翻译,,,1387,是,,第1章之前、第1章、第3章、第4章、第5章、第6章、第7章、第8章、第9章、第10章、第11章、第12章、第13章、第14章、第15章
Heap,是,堆、Heap,堆、Heap,,803,是,是,第3章、第4章、第11章
Generation,是,代,,,711,是,是,第1章之前、第3章、第4章、第5章、第6章、第7章、第8章、第9章、第10章、第11章、第12章、第15章
bytes,是,字节、byte,字节、byte,在不同的场景分别使用中文或英文效果会更佳，这就是难以抉择的地方,578,是,是,第1章之前、第1章、第2章、第3章、第4章、第5章、第6章、第7章、第8章、第9章、第10章、第11章、第12章、第13章、第14章、第15章
Stack,是,Stack、堆栈,堆栈、Stack、栈,,542,是,是,第1章之前、第1章、第2章、第3章、第4章、第6章、第7章、第8章、第9章、第10章、第13章、第14章、第15章
Segment,,段、segment,段、区段、segment、片段,,430,是,是,第1章之前、第1章、第3章、第5章、第6章、第10章、第11章、第14章、第15章
bit,是,bit,位、bit,综合评估，最终选择原文不翻译,264,是,是,第1章、第2章、第3章、第4章、第5章、第8章、第9章、第11章、第12章
Lifetime,是,生存期,生命期,生命期会和lifecyle混淆，并且生存期与存活性、存活、死亡等其他词汇更能对应,202,是,是,第1章之前、第1章、第4章、第5章、第8章、第12章、第15章
FINALIZER,是,终结器,终结器,,180,是,是,第3章、第12章
Reachable,是,可到达,可访问,根据源头第1章的描述，可到达更能体现出原义,169,是,是,第1章、第7章、第12章、第15章
microsoft,是,microsoft,,,148,是,,第1章之前、第2章、第3章、第4章、第6章、第14章
structs,是,结构,结构、结构体,结构体更不令人混淆,146,是,是,第1章之前、第4章、第6章、第13章、第15章
Compact,是,压缩,,和Sweep一样，在第1章与Sweep对比，体现出该词的真实含义，也是该词在本书中的源头,131,是,是,第1章之前、第8章、第9章、第10章、第12章、第15章
workstation,是,工作站、workstation,workstation,试读者都能理解工作站这个词,129,是,是,第5章、第7章、第15章
words,是,字、word,字、word,综合评估，最终选择原文不翻译,126,是,是,第1章之前、第1章、第2章、第3章、第4章、第5章、第6章、第7章、第8章、第9章、第10章、第11章、第12章、第13章、第14章、第15章
Mark,是,标记,,,118,是,是,
plan,是,计划,,,104,是,是,第1章之前、第1章、第2章、第3章、第4章、第5章、第6章、第7章、第8章、第9章、第10章、第11章、第13章、第14章、第15章
Plugs / plug,是,plug、空隙,,,89,是,是,第1章之前、第4章、第9章、第13章、第15章
Sweep,是,清除,扫描、清除,在第1章中明确和压缩相对应，体现了这个词的真实含义，也是该词在本书的源头,86,是,是,第1章之前、第1章、第6章、第7章、第9章、第10章、第11章、第15章
pauses,是,停顿、暂停、Pause,暂停、停顿、卡顿,卡顿最形象，在读者脑海里马上能够和实际应用程序经常卡顿无响应这点关联起来，但是停顿的意思来源于第2章,85,是,是,第1章之前、第5章、第7章、第8章、第10章、第11章、第12章、第15章
helper,是,辅助,助手、辅助、帮助、helper,,83,是,,第4章、第5章、第6章、第7章、第8章、第12章、第13章、第14章、第15章
Pinning,是,固定,固定,,78,是,是,第1章之前、第8章、第9章、第10章
architecture,是,架构,体系结构、架构、体系架构,编辑建议统一翻译成“架构”,72,是,,第1章、第2章、第3章、第4章、第6章、第14章、第15章
free-list,,空闲列表,可用列表,可用列表容易产生误解，空闲列表就更清晰明了的表达了本书源头第1章清除一节中所表达的意思,70,是,是,
Mutator,,Mutator,,,60,是,是,第1章之前、第1章、第5章、第15章
Sequential,,循序,顺序、循序,,58,是,是,第1章之前、第2章、第8章、第13章、第14章
Locality,,局部性,局部性,,51,是,是,第1章之前、第2章、第4章
freachable,,,,,50,是,是,第12章
Padding,,,padding、填充,,50,是,是,第10章、第13章
Interning / interned,,,暂存,,47,是,是,第1章之前、第4章
interned,,,暂存,,44,是,是,第3章、第4章、第5章、第8章
